business_name,owner_name,phone,whatsapp,email,address,area,instagram,website,business_type,lead_score,confidence_score
Rajwada Wedding Store,,9328969155,,,,Subhas Chowk Gurukul Road,Navrangpura,,,Sherwani Store,8,high
Khuman,,9328969155,,,,CG Road,Navrangpura,,,Ethnic Menswear Retailer,9,high
Mangalam Designer,,9328969155,,,,Gurukul Road,,,mangalamdesigner.com,Sherwani Boutique,8,high
Shree Hari Sherwani,,,,,,Rakhial,,,Justdial,Sherwani Retailer,7,medium
Raja Designer Studio,,,,,,Mirzapur,,,Justdial,Sherwani Wholesaler,8,medium
Kalash Creation,,+918044464584,,,,Ahmedabad,,,indiamart.com,Sherwani Manufacturer,9,high
Shreeganesh Creation,,+918044464726,+918044919256,,Ahmedabad,,,,Sherwani Manufacturer,8,high
Riyaasat,,+91 70419 37956,,,,15/16 Stellar Complex SBR,Thaltej/SBR,facebook.com/riyaasat,,Wedding Sherwani Designer,9,high
Banna and Baisa,,9725291580,,,,132 Feet Ring Road Shivranjani Cross Road,Satellite,@bannaandbaisa,bannaandbaisa.in,Bridal Designer Boutique,9,high
Chandni's Couture,,7861814479,,,,Panchvati Cross Road Opp Tanishq,Satellite,,,Bridal Wear Rental,7,medium
Modern Era Boutique,,(079) 26460032 09898493100,,,,CG Road,Navrangpura,,,Fashion & Bridal Boutique,8,high
Krupa Madhukar,,93136 28686,,,,26 Vishal Complex,Relief Road,,,Sherwani Shop,8,high
Raj Shah Designs,,90672 03090 91579 12244,,,,Ahmedabad,,,,Wedding Designer,8,high
Shayona,,75750 75568,,,,4 Laxmi Nagar Society Nava Vadaj,Nava Vadaj,,,Ethnic Menswear,7,high
Yara Designer Studio,,9586986665 8320667869,,,,Naranpura,,,Instagram,Boutique Designer Studio,8,high
Sanskrutik,,94845 07703,,,,Tatvam Arcade,Naranpura,@sanskrutik,,Ethnic Wear Boutique,7,high
Pernia's Pop-Up Studio,,,,,,Privilon Ahmedabad,,,,Designer Bridal Clothing,8,medium
Manyavar,,,,,,Multiple Locations Ahmedabad,,,manyavar.com,Ethnic Menswear Chain,9,high
Raymond Ellisbridge,,08044939191,,,,Ellisbridge,,,myraymond.com,Menswear Retailer,7,high
Raymond CG Road,,,,,,CG Road,Navrangpura,,,myraymond.com,Menswear Retailer,7,high
Ritu Kumar Navrangpura,,,,79489647xx,Navrangpura,,,ritukumar.com,Fashion Designer Store,8,medium
Ritu Kumar Thaltej,,,,79692436xx,Thaltej,,,ritukumar.com,Fashion Designer Store,8,medium
Tasva,,+918291094314,,,,Thaltej,,,tasva.com,Ethnic Menswear,7,high
W for Woman CG Road,,,,,,CG Road,Navrangpura,,,wforwoman.com,Ethnic Wear Boutique,6,medium
W for Woman Vastrapur,,+919619972854,,,,Ahmedabad One Mall,Vastrapur,,,wforwoman.com,Ethnic Wear Boutique,6,medium
Neha's Designer Studio,,,,,,Vastrapur/Keshavbaug,,,Justdial,Fashion Designer Boutique,7,medium
Achkan An Art In Itself,,,,,,Vastrapur/Bodakdev,,,Justdial,Menswear Designer,8,medium
Upasana Art Studio,,,,,,Vastrapur,,,Justdial,Fashion Designer Studio,7,medium
Adwikaa,,,,,,Bodakdev,,,Justdial,Boutique Designer,7,medium
Label Ratan,,9 Rudra Square,,Bodakdev,,,Instagram,Ethnic Wear Boutique,7,medium
Pratha Studio,,,,,,Bodakdev,,,Justdial,Boutique Studio,7,medium
Sivi The Bespoke Boutique,,,,,,Prahlad Nagar,,,Justdial,Wedding Boutique,7,medium
Manawat,,,,,,Ahmedabad,,,WeddingPlz,Wedding Sherwani Designer,7,medium
The Vastra Wedding Collection,,,,,,Ahmedabad,,,WeddingPlz,Wedding Sherwani Designer,7,medium
Steel All Male,,,,,,Ahmedabad,,,WeddingPlz,Ethnic Menswear,7,medium
Vestirio Ethnic Wear,,,,,,Ahmedabad,,,WeddingPlz,Ethnic Menswear,7,medium
Stylo Menswear,,,,,,Ahmedabad,,,WeddingPlz,Menswear Designer,7,medium
Siddhesh Chauhan,,,,,,Ahmedabad,,,WeddingPlz,Fashion Designer,7,medium
Sherwani on Rent,,96018 69995,,,,Shop No.7 Pancham Mall Nikol Road,Bapunagar,,groomsherwani.com,Sherwani Rental,6,high
Pitroda Embroidery Studio,,,,,,Ahmedabad,,,Justdial,Zari Embroidery Job Work,8,medium
Radhe Creation,,,,,,Ahmedabad,,,Justdial,Embroidery Job Work,7,medium
Zoya Farha Ifrah,,,,,,Ahmedabad,,,Justdial,Embroidery Job Work,7,medium
Ajay Arvindbhai Khatri,,,,,CG Road,Navrangpura,,,Justdial,Sherwani Retailer,8,medium
Nabila Boutique,,,,,,Lal Darwaja,,,Instagram,Ethnic Wear Boutique,6,medium
Lamaan Clothing,,,,,,Lal Darwaja,,,Instagram,Ethnic Wear,6,medium
Asuka Couture,,,,,,Ahmedabad,,,,Wedding Designer Sherwani,8,medium
Khatri Designers,,,,,,Ahmedabad,,,WeddingPlz,Wedding Sherwani Designer,7,medium
Ambawadi Fashion Designer,,(079) 40021845,,208 Dhiraj Ave Ambawadi Cross Road,Ambawadi,,,Fashion Designer,7,high
Hanuman Textile Mills,,,,,,Ellisbridge,,,Justdial,Garment Manufacturer,7,medium
Bhavana Garments,,,,,,Ellisbridge,,,Justdial,Garment Manufacturer,7,medium
Studio-9,,+91 9737805654,,,,Ahmedabad,,,Instagram,Mens Ethnic Wear Studio,7,high
Aangan Ethnic,,+91 72840 18854,,,,02 Ground Floor Shantam Complex Gurukul Rd,Memnagar,,,Ethnic Menswear Shop,7,high
GJ 5 Fashion,,8160450498,,,,Gota,,,Instagram,Fashion Designer,6,medium
Purple Fashion,,6355876271,,,,Gota,,,Instagram,Fashion Boutique,6,medium
Jahal Designing Studio,,210924214051,,,,Shop 29 Ground Floor Gala Magnus,South Bopal,,,Designer Studio,7,medium
Cantabil Boutique,,+917400150495,,,,Shop 6&7 Estin Evoq Science City Road,Science City,,,Boutique Menswear,6,medium
Ashini Doshi,,,,,,Judges Bunglow Road,Bodakdev,,,Fashion Designer,7,medium
Nakshatra Designer Studio,,+91-8347373958,,,,Ahmedabad,,,,Wedding Designer Studio,7,medium
Nayra Designer Studio,,,,,,Ahmedabad,,,,Wedding Designer,7,medium
Legend Rajwada,,+91 70533,,,,Ahmedabad,,,,Premium Groom Wear,8,high
MRV Industries,,,,,,Ahmedabad,,,Justdial,Ethnic Wear Manufacturer,8,medium
Manibhadra Enterprise,,,,,,Ahmedabad,,,Justdial,Ethnic Wear Manufacturer,7,medium
Jay Creation,,,,,,Ahmedabad,,,IndiaMART,Wholesale Kurta Pajama,7,medium
Mangal Cotton Mills,,,,,,Ahmedabad/Satellite,,,Justdial,Zari Embroidery Job Work,8,medium
Embroidery Handwork,,,,,,Ahmedabad,,,Justdial,Embroidery Job Work,7,medium
Shree Shyam Enterprise,,,,,,Ellisbridge,,,Justdial,Garment Manufacturer,6,medium
MRV Industries,,,,,,Odhav,,,Justdial,Garment Manufacturer,7,medium
Prasad Koch Technik,,,,,,Ahmedabad,,,IndiaMART,Ethnic Wear Supplier,7,medium
Festival Collections,,,,,,Ahmedabad,,,Justdial,Sherwani Retailer,7,medium
Prince Menswear,,,,,,Ahmedabad,,,Justdial,Ethnic Menswear Retailer,7,medium
Shreeji Fashion,,,,,,Ahmedabad,,,IndiaMART,Garment Manufacturer,6,medium
A to Z Tailors,,,,,,Ahmedabad,,,Justdial,Custom Tailoring,6,medium
Craft World,,,,,,Ahmedabad,,,IndiaMART,Embroidery Work Contractor,7,medium
Heritage Collection,,,,,,Ahmedabad,,,Justdial,Sherwani Store,7,medium
